23:  16380/16390
1:   16380/16400
2:   16380/16400
11:  16400/16410
24:  16400/16410
3:   16400/16415
5:   16400/16415
6:   16400/16415
12:  16410/16415
25:  16410/16420
4:   16415/16425
7:   16415/16425
13:  16415/16435
8:   16425/16430
9:   16430/16435
14:  16435/16450
18:  16435/16450
10:  16435/16455
15:  16450/16465
19:  16450/16465
20:  16455/16465
26:  16455/16465
21:  16465/16475
27:  16465/16475
16:  16465/16480
22:  16475/16480
17:  16480/16485
28:  16480/16485
29:  16485/16490
30:  16490/16510
